id,abbr,totalPopulation,totalMalePopulation,totalFemalePopulation,healthRate
1,AL,4849377,2347969,2501408,16.8
2,AK,736732,385582,351150,21.1
4,AZ,6731484,3342946,3388538,19.2
5,AR,2966369,1456778,1509591,15.3
6,CA,38802500,19264457,19538043,20.5
8,CO,5355866,2692599,2663267,21.2
9,CT,3596677,1754116,1842561,23.4
10,DE,935614,454005,481609,18.9
11,DC,658893,312633,346260,26
12,FL,19893297,9722228,10171069,20.7
13,GA,10097343,4921939,5175404,19
15,HI,1419561,717313,702248,20.6
16,ID,1634464,817050,817414,20.7
17,IL,12880580,6320605,6559975,18.5
18,IN,6596855,3243979,3352876,15.6
19,IA,3107126,1544801,1562325,18.5
20,KS,2904021,1444945,1459076,18.6
21,KY,4413457,2174158,2239299,15.5
22,LA,4649676,2272116,2377560,19.1
23,ME,1330089,647622,682467,18.9
24,MD,5976407,2896033,3080374,21.4
25,MA,6745408,3269679,3475729,24
26,MI,9909877,4865257,5044620,15.6
27,MN,5457173,2712823,2744350,20.2
28,MS,2994079,1457828,1536251,16
29,MO,6063589,2970513,3093076,18
30,MT,1023579,513409,510170,20.2
31,NE,1881503,936197,945306,19.3
32,NV,2839099,1426744,1412355,18.6
33,NH,1326813,654814,671999,21.1
34,NJ,8938175,4363391,4574784,20.5
35,NM,2085572,1032779,1052793,17.4
36,NY,19746227,9574309,10171918,19.9
37,NC,9943964,4842403,5101561,19
38,ND,739482,376324,363158,17.9
39,OH,11594163,5676586,5917577,18.2
40,OK,3878051,1920562,1957489,16.3
41,OR,3970239,1964293,2005946,20.4
42,PA,12787209,6253250,6533959,18.7
44,RI,1055173,511650,543523,18.9
45,SC,4832482,2351359,2481123,17.7
46,SD,853175,427381,425794,19
47,TN,6549352,3190199,3359153,16.5
48,TX,26956958,13384317,13572641,18.1
49,UT,2942902,1479527,1463375,22.9
50,VT,626562,308516,318046,20.9
51,VA,8326289,4092671,4233618,20.2
53,WA,7061530,3529597,3531933,17.9
54,WV,1850326,914686,935640,13.5
55,WI,5757564,2857982,2899582,18
56,WY,584153,297181,286972,22.2
,,,,,
